,year,name,driver_name,grid,race_finish_position,positions_gained_lost
917,2006,British Grand Prix,trulli,22,11,11
907,2006,British Grand Prix,rosberg,12,9,3
913,2006,British Grand Prix,albers,18,15,3
915,2006,British Grand Prix,sato,20,17,3
916,2006,British Grand Prix,montagny,21,18,3
903,2006,British Grand Prix,montoya,8,6,2
904,2006,British Grand Prix,heidfeld,9,7,2
905,2006,British Grand Prix,villeneuve,10,8,2
898,2006,British Grand Prix,michael_schumacher,3,2,1
900,2006,British Grand Prix,fisichella,5,4,1
896,2006,British Grand Prix,alonso,1,1,0
908,2006,British Grand Prix,liuzzi,13,13,0
909,2006,British Grand Prix,klien,14,14,0
911,2006,British Grand Prix,monteiro,16,16,0
897,2006,British Grand Prix,raikkonen,2,3,-1
899,2006,British Grand Prix,massa,4,5,-1
906,2006,British Grand Prix,coulthard,11,12,-1
901,2006,British Grand Prix,barrichello,6,10,-4
902,2006,British Grand Prix,ralf_schumacher,7,-100,-100
910,2006,British Grand Prix,speed,15,-100,-100
912,2006,British Grand Prix,webber,17,-100,-100
914,2006,British Grand Prix,button,19,-100,-100
1068,2006,Italian Grand Prix,webber,19,10,9
1058,2006,Italian Grand Prix,fisichella,9,4,5
1065,2006,Italian Grand Prix,klien,16,11,5
1070,2006,Italian Grand Prix,sato,21,16,5
1060,2006,Italian Grand Prix,trulli,11,7,4
1055,2006,Italian Grand Prix,kubica,6,3,3
1066,2006,Italian Grand Prix,liuzzi,17,14,3
1057,2006,Italian Grand Prix,barrichello,8,6,2
1063,2006,Italian Grand Prix,coulthard,14,12,2
1064,2006,Italian Grand Prix,speed,15,13,2
1051,2006,Italian Grand Prix,michael_schumacher,2,1,1
1067,2006,Italian Grand Prix,albers,18,17,1
1054,2006,Italian Grand Prix,button,5,5,0
1050,2006,Italian Grand Prix,raikkonen,1,2,-1
1062,2006,Italian Grand Prix,ralf_schumacher,13,15,-2
1052,2006,Italian Grand Prix,heidfeld,3,8,-5
1053,2006,Italian Grand Prix,massa,4,9,-5
1056,2006,Italian Grand Prix,rosa,7,-100,-100
1059,2006,Italian Grand Prix,alonso,10,-100,-100
1061,2006,Italian Grand Prix,rosberg,12,-100,-100
1069,2006,Italian Grand Prix,monteiro,20,-100,-100
1071,2006,Italian Grand Prix,yamamoto,22,-100,-100
895,2006,Monaco Grand Prix,michael_schumacher,22,5,17
894,2006,Monaco Grand Prix,massa,21,9,12
888,2006,Monaco Grand Prix,heidfeld,15,7,8
891,2006,Monaco Grand Prix,speed,18,13,5
880,2006,Monaco Grand Prix,coulthard,7,3,4
889,2006,Monaco Grand Prix,albers,16,12,4
893,2006,Monaco Grand Prix,montagny,20,16,4
882,2006,Monaco Grand Prix,fisichella,9,6,3
877,2006,Monaco Grand Prix,montoya,4,2,2
883,2006,Monaco Grand Prix,ralf_schumacher,10,8,2
885,2006,Monaco Grand Prix,liuzzi,12,10,2
886,2006,Monaco Grand Prix,button,13,11,2
890,2006,Monaco Grand Prix,monteiro,17,15,2
878,2006,Monaco Grand Prix,barrichello,5,4,1
874,2006,Monaco Grand Prix,alonso,1,1,0
887,2006,Monaco Grand Prix,villeneuve,14,14,0
